frame,proc_time_s,fps_proc,n_det
1,1.0558741092681885,0.9470826031458295,1
2,0.0798945426940918,12.51649945389762,1
3,0.07888364791870117,12.676898525669312,1
4,0.08114337921142578,12.323864370923195,1
5,0.07934188842773438,12.60368286936872,1
6,0.07872366905212402,12.702659975589885,1
7,0.07876205444335938,12.69646922071003,1
8,0.07848882675170898,12.740666938026646,1
9,0.07693767547607422,12.99753331267431,1
10,0.07990217208862305,12.515304326030781,1
11,0.07767772674560547,12.873703208063743,1
12,0.07838106155395508,12.758183930841906,1
13,0.08141899108886719,12.282146789420667,1
14,0.07750582695007324,12.902255731613158,1
15,0.07945609092712402,12.585567554754054,1
16,0.07866692543029785,12.711822592914748,1
17,0.08191180229187012,12.208252925955357,1
18,0.08150291442871094,12.269499894690037,1
19,0.08672833442687988,11.530257171525573,1
20,0.09150838851928711,10.927959897241893,1
21,0.08393287658691406,11.914282467901375,1
22,0.082550048828125,12.113863216266173,1
23,0.07882022857666016,12.687098452491863,1
24,0.07900524139404297,12.65738807141219,1
25,0.08354330062866211,11.969840699074787,1
26,0.07741117477416992,12.91803157512181,1
27,0.07742428779602051,12.91584370313573,1
28,0.07635283470153809,13.09709068312896,1
29,0.07831025123596191,12.769720237352226,1
30,0.0775458812713623,12.895591404791992,1
31,0.07771825790405273,12.866989391791984,1
32,0.07554149627685547,13.237757382181767,1
33,0.07744979858398438,12.911589420282716,1
34,0.07863736152648926,12.716601632967386,1
35,0.07894349098205566,12.667288810768529,1
36,0.08112764358520508,12.32625472413408,1
37,0.07749581336975098,12.903922889727758,1
38,0.07768487930297852,12.872517907891748,1
39,0.07727789878845215,12.940310433873142,1
40,0.08971643447875977,11.146229849746744,1
41,0.07950258255004883,12.578207750301388,1
42,0.07901239395141602,12.656242267699048,1
43,0.07759714126586914,12.887072689620421,1
44,0.07746720314025879,12.908688573530181,1
45,0.08144664764404297,12.277976183506434,1
46,0.07953095436096191,12.573720610233918,1
47,0.07697153091430664,12.991816430328148,1
48,0.07839560508728027,12.755817100801362,1
49,0.07891106605529785,12.672493859089906,1
50,0.07773566246032715,12.86410854876751,1
51,0.07933926582336426,12.604099491244783,1
52,0.07755708694458008,12.893728212285351,1
53,0.0768892765045166,13.005714781842931,1
54,0.0781247615814209,12.80003906261921,1
55,0.07880282402038574,12.689900551550119,1
56,0.07945561408996582,12.585643084549346,1
57,0.07970881462097168,12.545663923810208,1
58,0.07880115509033203,12.690169311016714,1
59,0.0786888599395752,12.708279174052024,1
60,0.07973146438598633,12.542100006578593,1
61,0.07911014556884766,12.640603715356889,1
62,0.08100271224975586,12.345265636497425,1
63,0.07996654510498047,12.505229514257433,1
64,0.07889485359191895,12.675097987664282,1
65,0.07715582847595215,12.960783647235141,1
66,0.07823443412780762,12.782095392501349,1
67,0.08027267456054688,12.457539324240841,1
68,0.07679224014282227,13.02214908876401,1
69,0.07625222206115723,13.114371922144922,1
70,0.07815885543823242,12.794455527694907,1
71,0.07994794845581055,12.508138348949977,1
72,0.07842850685119629,12.750465872024272,1
73,0.07845520973205566,12.746126145290445,1
74,0.09044098854064941,11.056933544579094,1
75,0.07713794708251953,12.963788094207827,1
76,0.08109331130981445,12.331473260224032,1
77,0.07842683792114258,12.750737203066764,1
78,0.07669663429260254,13.038381791108804,1
79,0.07930254936218262,12.609935090899798,1
80,0.07745838165283203,12.910158702798537,1
81,0.07902932167053223,12.653531358511854,1
82,0.08011245727539062,12.4824532165135,1
83,0.07917451858520508,12.630326244722689,1
84,0.08004117012023926,12.493570477515288,1
85,0.08238697052001953,12.137841623354825,1
86,0.0785222053527832,12.735251073339285,1
87,0.07772374153137207,12.86608158970788,1
88,0.07684540748596191,13.013139401761642,1
89,0.07966899871826172,12.551933827314189,1
90,0.0784912109375,12.740279937791602,1
