                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65674,                0.55567,                 1.0562,                 0.9589,                0.90247,                0.98119,                0.85745,                0.49049,                 0.4667,                 1.0186,               0.001264,               0.001264,               0.001264
                     37,                0.64001,                0.55081,                 1.0406,                 0.9893,                0.99446,                0.99494,                0.88637,                0.42319,                0.36408,                0.96351,              0.0012592,              0.0012592,              0.0012592
                     38,                0.68239,                 0.5686,                 1.0726,                0.97274,                0.96963,                 0.9784,                0.87065,                0.45443,                0.35812,                0.98709,              0.0012545,              0.0012545,              0.0012545
                     39,                0.64123,                0.56392,                 1.0392,                0.91394,                0.98846,                 0.9887,                0.86948,                0.48537,                0.39647,                 1.0183,              0.0012498,              0.0012498,              0.0012498
                     40,                0.64755,                0.55341,                 1.0397,                      1,                0.99195,                  0.995,                0.88465,                0.50445,                0.31685,                 0.9815,              0.0012451,              0.0012451,              0.0012451
                     41,                0.65298,                0.57849,                 1.0583,                0.97704,                0.99824,                0.99469,                0.86325,                0.56347,                0.36823,                 1.0841,              0.0012404,              0.0012404,              0.0012404
                     42,                0.64606,                0.55231,                 1.0225,                0.97839,                0.99746,                0.99488,                0.87433,                 0.4741,                0.33724,                0.97823,              0.0012357,              0.0012357,              0.0012357
                     43,                0.60386,                0.51138,                 1.0213,                0.99252,                      1,                  0.995,                0.88725,                0.46143,                 0.2971,                 1.0076,              0.0012309,              0.0012309,              0.0012309
                     44,                0.63787,                0.54282,                 1.0446,                0.99337,                0.99515,                  0.995,                 0.8703,                0.52209,                0.32774,                 1.0087,              0.0012262,              0.0012262,              0.0012262
                     45,                0.64791,                0.54387,                 1.0489,                0.94196,                 0.9667,                0.97386,                0.86411,                0.43222,                0.36662,                0.95643,              0.0012215,              0.0012215,              0.0012215
                     46,                0.63458,                0.55253,                 1.0437,                0.99757,                      1,                  0.995,                0.87041,                0.46172,                0.33431,                0.99793,              0.0012168,              0.0012168,              0.0012168
                     47,                0.63397,                0.53661,                 1.0614,                0.99363,                0.95557,                0.98757,                0.85269,                0.54934,                0.39963,                 1.0356,              0.0012121,              0.0012121,              0.0012121
                     48,                 0.6118,                0.52048,                 1.0215,                0.97287,                      1,                0.99494,                0.88652,                0.46377,                0.30834,                  0.979,              0.0012074,              0.0012074,              0.0012074
                     49,                0.61951,                 0.5171,                 1.0391,                0.98874,                0.97085,                0.98529,                0.88042,                0.44146,                 0.3095,                0.97205,              0.0012026,              0.0012026,              0.0012026
                     50,                0.60443,                0.52723,                 1.0329,                0.97932,                      1,                0.99419,                0.88016,                0.47688,                0.33371,                0.99506,              0.0011979,              0.0011979,              0.0011979
                     51,                0.62288,                 0.5241,                 1.0382,                0.97203,                0.93273,                0.98106,                0.86287,                0.47997,                0.39011,                0.95985,              0.0011932,              0.0011932,              0.0011932
                     52,                0.62572,                0.52436,                 1.0474,                0.98992,                0.97374,                  0.995,                 0.8984,                0.43511,                0.30695,                0.95553,              0.0011885,              0.0011885,              0.0011885
                     53,                  0.616,                0.52847,                 1.0296,                0.99586,                 0.9988,                  0.995,                0.89563,                0.44053,                0.26885,                0.97238,              0.0011838,              0.0011838,              0.0011838
                     54,                0.61055,                0.51103,                 1.0342,                0.97347,                0.99827,                0.99389,                0.88333,                0.47862,                 0.3194,                  1.009,              0.0011791,              0.0011791,              0.0011791
                     55,                0.60214,                0.51256,                 1.0274,                 0.9752,                 0.9875,                 0.9947,                 0.8821,                0.46542,                0.33723,                0.97417,              0.0011744,              0.0011744,              0.0011744
                     56,                0.60256,                0.49843,                 1.0256,                0.99077,                      1,                0.99494,                0.89785,                0.43909,                0.29875,                0.96872,              0.0011696,              0.0011696,              0.0011696
