                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69941,                0.61825,                 1.0801,                0.94207,                0.96128,                0.96585,                0.81918,                0.56676,                 0.4421,                 1.0448,              0.0013087,              0.0013087,              0.0013087
                     36,                0.69636,                0.61298,                 1.0942,                0.98981,                0.96438,                0.98383,                0.86291,                0.55397,                0.36191,                 1.0783,              0.0013052,              0.0013052,              0.0013052
                     37,                0.69329,                 0.6049,                  1.083,                 0.9817,                0.97228,                0.97552,                0.83296,                0.49318,                0.36516,                0.99969,              0.0013017,              0.0013017,              0.0013017
                     38,                0.68513,                0.61901,                 1.0739,                0.96717,                0.99296,                0.99311,                 0.8661,                0.47598,                0.34281,                0.97702,              0.0012981,              0.0012981,              0.0012981
                     39,                 0.6739,                0.57262,                 1.0509,                   0.99,                0.97448,                0.98486,                0.87233,                0.49245,                0.34498,                 1.0041,              0.0012946,              0.0012946,              0.0012946
                     40,                0.67206,                0.58276,                 1.0497,                0.99059,                  0.975,                0.97611,                0.83638,                0.52357,                0.34773,                 1.0052,              0.0012911,              0.0012911,              0.0012911
                     41,                0.67287,                0.59326,                  1.057,                0.93593,                0.94996,                0.98512,                0.86869,                0.46695,                 0.3902,                0.98608,              0.0012875,              0.0012875,              0.0012875
                     42,                0.68381,                0.58207,                  1.063,                0.97874,                0.96482,                0.97724,                0.82786,                0.53962,                0.37078,                 1.0248,               0.001284,               0.001284,               0.001284
                     43,                0.65951,                0.57897,                 1.0692,                0.99608,                0.96473,                0.99177,                0.87313,                0.52973,                0.34972,                 1.0653,              0.0012805,              0.0012805,              0.0012805
                     44,                0.69288,                0.61011,                 1.0892,                0.94967,                0.94412,                0.96074,                 0.8229,                0.49798,                0.45731,                 1.0238,              0.0012769,              0.0012769,              0.0012769
                     45,                0.66451,                0.62407,                 1.0623,                0.90598,                0.96413,                0.96648,                0.86293,                0.47401,                0.43827,                 1.0157,              0.0012734,              0.0012734,              0.0012734
                     46,                0.65029,                0.61841,                 1.0956,                0.93996,                0.95697,                0.97966,                0.86579,                0.49071,                0.38137,                 1.0529,              0.0012698,              0.0012698,              0.0012698
                     47,                0.65842,                0.60932,                  1.062,                0.94026,                0.92083,                0.96351,                0.84603,                0.48292,                0.41202,                0.98213,              0.0012663,              0.0012663,              0.0012663
                     48,                0.69695,                0.56673,                 1.0817,                      1,                0.95042,                0.99478,                0.86731,                0.46984,                0.34137,                0.99502,              0.0012628,              0.0012628,              0.0012628
                     49,                0.66278,                0.59178,                 1.0702,                0.97679,                0.96986,                0.99066,                0.88735,                0.46841,                0.35923,                 0.9869,              0.0012592,              0.0012592,              0.0012592
                     50,                  0.663,                0.57502,                 1.0595,                   0.93,                0.95777,                0.96043,                0.86501,                0.47205,                0.39147,                0.98719,              0.0012557,              0.0012557,              0.0012557
                     51,                0.66151,                0.56313,                 1.0601,                 0.9561,                0.95368,                 0.9737,                0.86277,                0.51206,                0.39445,                 1.0403,              0.0012522,              0.0012522,              0.0012522
                     52,                 0.6717,                0.59012,                 1.0487,                0.95346,                 0.9654,                0.98551,                0.87379,                0.48214,                 0.3753,                  1.015,              0.0012486,              0.0012486,              0.0012486
                     53,                0.65956,                0.58752,                 1.0671,                0.90627,                0.96324,                0.96767,                0.86086,                0.50701,                0.40714,                 1.0381,              0.0012451,              0.0012451,              0.0012451
                     54,                0.64004,                0.53753,                 1.0383,                0.98669,                0.97358,                0.97381,                0.86218,                0.51967,                0.33927,                 1.0269,              0.0012416,              0.0012416,              0.0012416
                     55,                0.65799,                0.54935,                 1.0509,                0.90296,                0.94875,                0.96663,                0.83608,                0.49579,                0.37406,                 1.0212,               0.001238,               0.001238,               0.001238
                     56,                0.63654,                0.54713,                 1.0403,                0.96388,                0.98812,                0.99381,                0.89224,                0.47336,                0.32093,                0.99733,              0.0012345,              0.0012345,              0.0012345
                     57,                0.61823,                 0.5326,                  1.044,                0.98164,                0.95748,                0.98805,                0.90227,                 0.4701,                  0.318,                 1.0078,              0.0012309,              0.0012309,              0.0012309
                     58,                0.61537,                0.54142,                 1.0555,                 0.9887,                  0.975,                0.96735,                0.86306,                0.46823,                0.32195,                0.98513,              0.0012274,              0.0012274,              0.0012274
                     59,                0.61316,                 0.5254,                 1.0439,                0.99129,                0.96661,                0.98727,                 0.8716,                0.46634,                0.33693,                0.97685,              0.0012239,              0.0012239,              0.0012239
                     60,                0.61943,                0.52972,                 1.0402,                0.99088,                0.99412,                0.99447,                0.88981,                0.44983,                  0.319,                0.96401,              0.0012203,              0.0012203,              0.0012203
                     61,                0.59747,                0.52098,                 1.0297,                0.99627,                0.98606,                  0.995,                0.87632,                0.47867,                0.30093,                 1.0121,              0.0012168,              0.0012168,              0.0012168
                     62,                0.61712,                0.50584,                  1.036,                0.95017,                0.97434,                0.99119,                0.89449,                0.44313,                0.30648,                0.97145,              0.0012133,              0.0012133,              0.0012133
                     63,                0.62496,                0.52023,                 1.0445,                0.97805,                0.98927,                0.99431,                0.89271,                0.48028,                 0.3207,                0.99556,              0.0012097,              0.0012097,              0.0012097
                     64,                0.61504,                0.59452,                 1.0409,                0.95557,                0.99368,                0.99341,                 0.8727,                0.50776,                0.32144,                 1.0198,              0.0012062,              0.0012062,              0.0012062
                     65,                0.63658,                0.54827,                 1.0421,                0.94809,                0.99184,                0.99034,                0.86734,                 0.4755,                0.33421,                0.98299,              0.0012026,              0.0012026,              0.0012026
                     66,                0.62505,                 0.5437,                 1.0537,                0.98598,                0.97259,                0.97176,                0.84781,                0.48076,                 0.3615,                0.99285,              0.0011991,              0.0011991,              0.0011991
                     67,                0.60139,                0.53165,                 1.0167,                0.99147,                0.97107,                0.99168,                0.86951,                0.48197,                0.32613,                 1.0045,              0.0011956,              0.0011956,              0.0011956
                     68,                0.63578,                0.52776,                  1.054,                0.98114,                  0.975,                0.98463,                0.84881,                0.49358,                0.33782,                 1.0067,               0.001192,               0.001192,               0.001192
                     69,                0.61778,                0.61724,                 1.0439,                0.93974,                0.96195,                0.99146,                0.88077,                0.46291,                0.35976,                0.99792,              0.0011885,              0.0011885,              0.0011885
                     70,                0.61516,                0.53753,                 1.0376,                0.96153,                0.95735,                0.97138,                0.88161,                0.42989,                0.33003,                0.95797,               0.001185,               0.001185,               0.001185
                     71,                0.61399,                0.51507,                 1.0342,                0.99093,                0.97046,                0.98745,                0.89139,                0.44603,                0.27875,                0.96213,              0.0011814,              0.0011814,              0.0011814
                     72,                0.63314,                0.48995,                 1.0318,                0.99055,                0.96198,                0.97473,                0.85399,                0.48638,                0.32817,                 1.0175,              0.0011779,              0.0011779,              0.0011779
                     73,                0.61755,                0.50677,                 1.0335,                0.96554,                0.94249,                0.97454,                0.86958,                0.46084,                0.33589,                0.99917,              0.0011744,              0.0011744,              0.0011744
                     74,                0.59795,                 0.5024,                 1.0343,                0.99224,                 0.9857,                0.99494,                0.89774,                0.43059,                 0.2844,                0.98138,              0.0011708,              0.0011708,              0.0011708
                     75,                0.56144,                0.47658,                 1.0146,                0.99061,                0.97356,                 0.9816,                 0.8643,                0.45625,                0.30748,                0.98569,              0.0011673,              0.0011673,              0.0011673
                     76,                 0.6126,                0.51596,                 1.0322,                0.98227,                0.97305,                0.98646,                0.88401,                0.44925,                0.29546,                0.96077,              0.0011637,              0.0011637,              0.0011637
                     77,                0.57821,                0.51061,                 1.0205,                0.98335,                 0.9561,                0.99232,                0.88898,                0.46062,                0.30085,                0.97227,              0.0011602,              0.0011602,              0.0011602
                     78,                0.57098,                0.46305,                  1.022,                0.98432,                0.96748,                0.97103,                0.87799,                0.45163,                0.31644,                0.98271,              0.0011567,              0.0011567,              0.0011567
                     79,                0.57623,                0.47966,                 1.0106,                0.98756,                0.96607,                 0.9777,                0.89194,                0.42134,                0.30773,                0.94332,              0.0011531,              0.0011531,              0.0011531
                     80,                0.60062,                0.49748,                  1.032,                0.98881,                  0.975,                0.98565,                0.87083,                0.46356,                0.28671,                0.99685,              0.0011496,              0.0011496,              0.0011496
                     81,                0.56247,                0.48792,                 1.0153,                0.98155,                   0.95,                0.97507,                0.87484,                0.48414,                 0.3176,                0.97899,              0.0011461,              0.0011461,              0.0011461
                     82,                0.60484,                0.52113,                   1.02,                0.98656,                0.97252,                0.97845,                0.88121,                0.47824,                0.31571,                   0.99,              0.0011425,              0.0011425,              0.0011425
                     83,                0.61379,                  0.493,                 1.0336,                0.97808,                0.99804,                0.99488,                0.88428,                 0.4703,                0.28559,                 1.0113,               0.001139,               0.001139,               0.001139
                     84,                0.61042,                0.48946,                 1.0363,                0.99183,                  0.975,                0.98884,                0.90155,                0.43255,                0.29716,                 0.9553,              0.0011354,              0.0011354,              0.0011354
                     85,                0.57253,                0.49083,                 1.0161,                0.87305,                0.90937,                0.99215,                0.88262,                0.45928,                0.40625,                 1.0102,              0.0011319,              0.0011319,              0.0011319
                     86,                0.56202,                0.48385,                 1.0047,                0.98707,                0.94559,                0.99139,                0.86748,                 0.4768,                0.30514,                0.97802,              0.0011284,              0.0011284,              0.0011284
                     87,                 0.5615,                0.45678,                 1.0092,                0.98694,                0.95813,                 0.9914,                0.89423,                0.43083,                0.29611,                0.96027,              0.0011248,              0.0011248,              0.0011248
                     88,                0.56067,                  0.501,                 1.0126,                0.98179,                0.99949,                  0.995,                0.90663,                 0.4151,                 0.2787,                0.94548,              0.0011213,              0.0011213,              0.0011213
                     89,                0.54836,                0.45218,                 1.0027,                0.98487,                0.94789,                0.98918,                0.89142,                0.46905,                0.33875,                0.95868,              0.0011178,              0.0011178,              0.0011178
                     90,                0.56033,                0.47588,                 1.0166,                0.98583,                0.96324,                0.99227,                0.90455,                0.45668,                0.31678,                0.98304,              0.0011142,              0.0011142,              0.0011142
                     91,                0.58828,                0.49282,                 1.0117,                0.92115,                0.98573,                0.96913,                0.86961,                 0.4118,                0.37837,                0.94479,              0.0011107,              0.0011107,              0.0011107
                     92,                0.58898,                0.47231,                 1.0305,                0.99328,                      1,                0.99494,                0.88657,                0.47192,                0.27155,                0.96711,              0.0011072,              0.0011072,              0.0011072
                     93,                0.53342,                 0.5111,                 1.0079,                0.96687,                0.99802,                0.99364,                0.90749,                0.41639,                0.27088,                0.95714,              0.0011036,              0.0011036,              0.0011036
                     94,                 0.6031,                0.50156,                 1.0273,                0.99193,                0.99826,                0.99419,                0.87605,                0.47348,                0.28545,                0.99961,              0.0011001,              0.0011001,              0.0011001
                     95,                0.57263,                0.49202,                 1.0107,                0.99456,                0.98529,                0.99477,                0.88739,                0.47404,                0.27492,                  1.028,              0.0010965,              0.0010965,              0.0010965
                     96,                 0.5833,                0.45083,                 1.0188,                0.99624,                0.98633,                  0.995,                0.87791,                0.46256,                0.27334,                0.99933,               0.001093,               0.001093,               0.001093
                     97,                0.55352,                0.47347,                0.99842,                 0.9823,                      1,                0.99453,                0.88364,                0.44954,                0.29634,                0.98225,              0.0010895,              0.0010895,              0.0010895
                     98,                0.57921,                 0.4654,                 1.0153,                0.97951,                0.96718,                0.99267,                0.91494,                0.42405,                0.28173,                0.96468,              0.0010859,              0.0010859,              0.0010859
                     99,                0.55118,                0.44591,                0.99056,                0.98509,                0.97852,                0.99489,                0.89032,                0.46761,                0.30094,                 1.0033,              0.0010824,              0.0010824,              0.0010824
                    100,                0.54555,                0.42946,                 1.0036,                0.99687,                0.99412,                0.99494,                0.90438,                0.40731,                0.25789,                0.96252,              0.0010789,              0.0010789,              0.0010789
                    101,                0.55592,                0.44326,                 1.0031,                0.99361,                      1,                  0.995,                0.88953,                0.46263,                0.29026,                 1.0194,              0.0010753,              0.0010753,              0.0010753
                    102,                0.53546,                 0.4246,                 1.0131,                0.95192,                0.98824,                0.98148,                0.88747,                0.44411,                0.31076,                0.99235,              0.0010718,              0.0010718,              0.0010718
                    103,                0.54442,                0.48293,                 1.0144,                0.99429,                0.98334,                0.99489,                0.89324,                0.47217,                0.28269,                 1.0214,              0.0010682,              0.0010682,              0.0010682
                    104,                0.55178,                0.46449,                0.99924,                0.98446,                0.95457,                0.97193,                0.86078,                0.45521,                0.33209,                 1.0062,              0.0010647,              0.0010647,              0.0010647
                    105,                0.54761,                 0.4616,                 1.0159,                0.97033,                0.91553,                0.99396,                 0.8677,                0.46757,                 0.3623,                 1.0443,              0.0010612,              0.0010612,              0.0010612
                    106,                0.55868,                0.48012,                 1.0083,                0.99237,                 0.9964,                0.99494,                 0.8805,                0.44774,                0.29495,                 1.0106,              0.0010576,              0.0010576,              0.0010576
                    107,                0.53905,                0.46481,                0.99588,                 0.9921,                0.99954,                  0.995,                0.90455,                0.44366,                0.27705,                0.98023,              0.0010541,              0.0010541,              0.0010541
                    108,                0.54918,                0.48169,                 1.0114,                0.99526,                      1,                  0.995,                0.89544,                0.43976,                0.28325,                0.99948,              0.0010506,              0.0010506,              0.0010506
                    109,                0.52434,                 0.4264,                0.99639,                0.98401,                0.96324,                0.98498,                0.86919,                0.46209,                0.30241,                 1.0027,               0.001047,               0.001047,               0.001047
                    110,                0.57034,                0.51068,                  1.024,                0.95082,                0.94341,                0.99151,                0.89335,                0.42804,                0.29551,                0.98196,              0.0010435,              0.0010435,              0.0010435
                    111,                0.55685,                0.44724,                 1.0178,                0.97534,                0.94839,                0.97698,                0.87278,                0.45659,                0.33707,                 0.9741,                0.00104,                0.00104,                0.00104
                    112,                0.53198,                0.42228,                0.99625,                0.98503,                0.97486,                0.97434,                0.88273,                0.44201,                0.31924,                0.96924,              0.0010364,              0.0010364,              0.0010364
                    113,                0.53653,                 0.4134,                 1.0012,                0.98932,                0.97497,                0.98047,                0.88941,                0.44313,                0.29773,                0.97275,              0.0010329,              0.0010329,              0.0010329
                    114,                0.54892,                0.44253,                 1.0046,                0.98065,                0.96912,                0.99215,                0.89313,                0.42476,                0.27971,                0.97427,              0.0010293,              0.0010293,              0.0010293
                    115,                0.54712,                0.42747,                0.98868,                0.94084,                0.99049,                0.99001,                0.88706,                0.46961,                0.31188,                0.97987,              0.0010258,              0.0010258,              0.0010258
                    116,                0.52247,                0.43236,                0.98478,                0.98342,                0.96573,                 0.9835,                0.90249,                0.42405,                0.29602,                0.93559,              0.0010223,              0.0010223,              0.0010223
                    117,                0.55658,                0.42888,                 1.0108,                0.93833,                0.96221,                0.96881,                0.87318,                0.41546,                0.32811,                0.95288,              0.0010187,              0.0010187,              0.0010187
                    118,                0.51346,                0.45027,                 0.9997,                0.99159,                 0.9896,                0.99494,                0.89912,                0.40566,                0.25306,                0.95132,              0.0010152,              0.0010152,              0.0010152
                    119,                0.54316,                0.42587,                0.99764,                0.99367,                0.98954,                0.99494,                0.90151,                0.42495,                0.27229,                0.96705,              0.0010117,              0.0010117,              0.0010117
                    120,                0.52651,                0.42459,                0.98096,                0.99561,                      1,                  0.995,                0.89021,                0.48165,                0.27982,                 1.0365,              0.0010081,              0.0010081,              0.0010081
                    121,                  0.522,                0.41926,                0.98197,                0.99015,                  0.974,                 0.9792,                0.89516,                0.40297,                0.27816,                0.95685,              0.0010046,              0.0010046,              0.0010046
                    122,                0.52759,                 0.4323,                0.99452,                      1,                0.97524,                  0.995,                0.90075,                0.43203,                 0.2771,                0.93813,              0.0010011,              0.0010011,              0.0010011
